"data_source","data_source_short","pcr_gene_target","rpho_region","sample_date","ww_aggregate","prop_regional_pop","prop_sewersheds","max_date","Very_Low_Threshold","Low_Threshold","Medium_Threshold","High_Threshold","level"
"All Laboratories","all","infa","Bay Area",2026-04-14,NA,NA,0.32258064516129,2026-04-13,0.890843108769393,6.9587370427157,13.026630976662,19.0945249106083,NA
"All Laboratories","all","h5","Bay Area",2026-04-14,NA,NA,0.32258064516129,2026-04-13,0.890843108769393,6.9587370427157,13.026630976662,19.0945249106083,NA
"All Laboratories","all","infb","Bay Area",2026-04-14,NA,NA,0.357142857142857,2026-04-13,0.890843108769393,6.9587370427157,13.026630976662,19.0945249106083,NA
"All Laboratories","all","rsv","Bay Area",2026-04-14,NA,NA,0.32258064516129,2026-04-13,0.710665290053333,5.36071537965033,10.0107654692473,14.6608155588443,NA
"All Laboratories","all","n","Bay Area",2026-04-14,NA,NA,0.32258064516129,2026-04-13,2.51124877427857,9.48210099127462,16.4529532082707,23.4238054252667,NA
"All Laboratories","all","infa","Bay Area",2026-04-13,2.82916210013829,NA,0.580645161290323,2026-04-13,0.890843108769393,6.9587370427157,13.026630976662,19.0945249106083,"Low"
"All Laboratories","all","h5","Bay Area",2026-04-13,0,NA,0.580645161290323,2026-04-13,0.890843108769393,6.9587370427157,13.026630976662,19.0945249106083,"Very Low"
"All Laboratories","all","infb","Bay Area",2026-04-13,3.84903391108426,NA,0.642857142857143,2026-04-13,0.890843108769393,6.9587370427157,13.026630976662,19.0945249106083,"Low"
"All Laboratories","all","rsv","Bay Area",2026-04-13,3.45736441281002,NA,0.580645161290323,2026-04-13,0.710665290053333,5.36071537965033,10.0107654692473,14.6608155588443,"Low"
"All Laboratories","all","n","Bay Area",2026-04-13,0.292056562041536,NA,0.580645161290323,2026-04-13,2.51124877427857,9.48210099127462,16.4529532082707,23.4238054252667,"Very Low"
"All Laboratories","all","infa","Bay Area",2026-04-12,2.33260030974391,NA,0.774193548387097,2026-04-13,0.890843108769393,6.9587370427157,13.026630976662,19.0945249106083,"Low"
"All Laboratories","all","h5","Bay Area",2026-04-12,0,NA,0.774193548387097,2026-04-13,0.890843108769393,6.9587370427157,13.026630976662,19.0945249106083,"Very Low"
"All Laboratories","all","infb","Bay Area",2026-04-12,3.20879548482516,NA,0.857142857142857,2026-04-13,0.890843108769393,6.9587370427157,13.026630976662,19.0945249106083,"Low"
"All Laboratories","all","rsv","Bay Area",2026-04-12,3.26094190080246,NA,0.774193548387097,2026-04-13,0.710665290053333,5.36071537965033,10.0107654692473,14.6608155588443,"Low"
"All Laboratories","all","n","Bay Area",2026-04-12,0.256773511707046,NA,0.774193548387097,2026-04-13,2.51124877427857,9.48210099127462,16.4529532082707,23.4238054252667,"Very Low"
"All Laboratories","all","infa","Bay Area",2026-04-11,2.13058203056222,NA,0.806451612903226,2026-04-13,0.890843108769393,6.9587370427157,13.026630976662,19.0945249106083,"Low"
"All Laboratories","all","h5","Bay Area",2026-04-11,0,NA,0.806451612903226,2026-04-13,0.890843108769393,6.9587370427157,13.026630976662,19.0945249106083,"Very Low"
"All Laboratories","all","infb","Bay Area",2026-04-11,3.00451304842176,NA,0.892857142857143,2026-04-13,0.890843108769393,6.9587370427157,13.026630976662,19.0945249106083,"Low"
"All Laboratories","all","rsv","Bay Area",2026-04-11,3.105176738525,NA,0.806451612903226,2026-04-13,0.710665290053333,5.36071537965033,10.0107654692473,14.6608155588443,"Low"
"All Laboratories","all","n","Bay Area",2026-04-11,0.257486436860575,NA,0.806451612903226,2026-04-13,2.51124877427857,9.48210099127462,16.4529532082707,23.4238054252667,"Very Low"
"All Laboratories","all","infa","Bay Area",2026-04-10,2.1411165851484,NA,0.838709677419355,2026-04-13,0.890843108769393,6.9587370427157,13.026630976662,19.0945249106083,"Low"
"All Laboratories","all","h5","Bay Area",2026-04-10,0,NA,0.838709677419355,2026-04-13,0.890843108769393,6.9587370427157,13.026630976662,19.0945249106083,"Very Low"
"All Laboratories","all","infb","Bay Area",2026-04-10,3.05054626508547,NA,0.928571428571429,2026-04-13,0.890843108769393,6.9587370427157,13.026630976662,19.0945249106083,"Low"
"All Laboratories","all","rsv","Bay Area",2026-04-10,3.21877776378591,NA,0.838709677419355,2026-04-13,0.710665290053333,5.36071537965033,10.0107654692473,14.6608155588443,"Low"
"All Laboratories","all","n","Bay Area",2026-04-10,0.253332669460903,NA,0.838709677419355,2026-04-13,2.51124877427857,9.48210099127462,16.4529532082707,23.4238054252667,"Very Low"
